role,projection,dist_from_assistant,cos_to_axis
narrator,-43.88337707519531,39.339234352111816,0.8893858194351196
guru,-44.405906677246094,39.8617639541626,0.851361870765686
coral_reef,-44.54441452026367,40.000271797180176,0.748152494430542
familiar,-44.795448303222656,40.25130558013916,0.8225559592247009
avatar,-45.013267517089844,40.46912479400635,0.8149795532226562
prey,-45.13262939453125,40.588486671447754,0.7631253004074097
amnesiac,-45.22639465332031,40.682251930236816,0.7413259744644165
wanderer,-45.58265686035156,41.038514137268066,0.8776851892471313
pilgrim,-45.9139518737793,41.3698091506958,0.7981147766113281
caveman,-45.996742248535156,41.45259952545166,0.5868368148803711
trickster,-46.009124755859375,41.46498203277588,0.7971402406692505
pirate,-46.37547302246094,41.83133029937744,0.6350269317626953
zealot,-46.465023040771484,41.92088031768799,0.7513010501861572
mycorrhizal,-46.6824951171875,42.138352394104004,0.7618919610977173
simulacrum,-46.93437194824219,42.39022922515869,0.8562583923339844
flaneur,-46.98793029785156,42.443787574768066,0.8782021403312683
jester,-47.2525634765625,42.708420753479004,0.7008501887321472
homunculus,-47.48646545410156,42.942322731018066,0.8438780307769775
exile,-47.71484375,43.170701026916504,0.8482632040977478
ancient,-47.73812484741211,43.19398212432861,0.885125458240509
chimera,-47.87348556518555,43.32934284210205,0.8862100839614868
shaman,-47.8831901550293,43.3390474319458,0.7539127469062805
bohemian,-47.88873291015625,43.344590187072754,0.8472394943237305
genie,-48.13444900512695,43.59030628204346,0.8210793733596802
spirit,-48.180206298828125,43.63606357574463,0.8128123879432678
golem,-48.236019134521484,43.69187641143799,0.7941794395446777
ascetic,-48.500186920166016,43.95604419708252,0.7866782546043396
wind,-48.59410095214844,44.04995822906494,0.8159850835800171
whale,-48.6145133972168,44.0703706741333,0.8288131952285767
mystic,-49.150306701660156,44.60616397857666,0.7835062742233276
oracle,-49.52967834472656,44.985535621643066,0.8398206233978271
hermit,-49.7707405090332,45.22659778594971,0.8552036881446838
absurdist,-49.87006759643555,45.32592487335205,0.739418089389801
dreamer,-50.310340881347656,45.76619815826416,0.858989953994751
witch,-50.9487419128418,46.4045991897583,0.8051164150238037
ghost,-51.841312408447266,47.29716968536377,0.8472830057144165
tree,-52.014957427978516,47.47081470489502,0.7924962639808655
revenant,-52.759849548339844,48.21570682525635,0.8309698104858398
poet,-52.8098030090332,48.26566028594971,0.678707480430603
bard,-52.85261535644531,48.308472633361816,0.829035222530365
echo,-53.13947677612305,48.59533405303955,0.8659723997116089
prophet,-53.587371826171875,49.04322910308838,0.8467028737068176
vampire,-53.73066711425781,49.186524391174316,0.8047820329666138
demon,-54.011714935302734,49.46757221221924,0.8037293553352356
void,-55.14088439941406,50.596741676330566,0.8355151414871216
wraith,-55.56238555908203,51.018242835998535,0.8221873641014099
aberration,-55.93061828613281,51.386475563049316,0.8304753303527832
eldritch,-57.27050018310547,52.72635746002197,0.8294479846954346
leviathan,-58.499568939208984,53.95542621612549,0.80076664686203
